energy_bins,angular_bins,reservoir_radius_pc,model,metric,unit,combined_value,seed_count,seed_full_range_fraction_of_mean,seed_gate,numerical_solver_gate
32,65,1.447927911662,direct,mass,Msun/Myr,12.6610010238141,2,0.010363371489230914,True,True
32,65,1.447927911662,direct,capture_binding_energy,Msun (km/s)^2/Myr,117097645.20122248,2,0.038126231279127024,True,True
32,65,1.447927911662,immediate,mass,Msun/Myr,13.822251331341334,2,0.008884609700325384,True,True
32,65,1.447927911662,immediate,capture_binding_energy,Msun (km/s)^2/Myr,117015637.5288269,2,0.038105680822389125,True,True
48,65,1.295141053175,direct,mass,Msun/Myr,13.57556994071878,2,0.03500275387351494,True,True
48,65,1.295141053175,direct,capture_binding_energy,Msun (km/s)^2/Myr,141458975.44949737,2,0.04434453394452461,True,True
48,65,1.295141053175,immediate,mass,Msun/Myr,14.72170636243498,2,0.03369378351324797,True,True
48,65,1.295141053175,immediate,capture_binding_energy,Msun (km/s)^2/Myr,141282174.63633227,2,0.043650009344627094,True,True
48,129,1.295141053175,direct,mass,Msun/Myr,13.447082408917026,2,0.038458634148538194,True,True
48,129,1.295141053175,direct,capture_binding_energy,Msun (km/s)^2/Myr,122017042.17440975,2,0.031397452867558386,True,True
48,129,1.295141053175,immediate,mass,Msun/Myr,14.595150258632085,2,0.03713822863042602,True,True
48,129,1.295141053175,immediate,capture_binding_energy,Msun (km/s)^2/Myr,122021068.98426114,2,0.030817976802848795,True,True
48,129,1.377343015078,direct,mass,Msun/Myr,13.585584740415394,2,0.013349332802622951,True,True
48,129,1.377343015078,direct,capture_binding_energy,Msun (km/s)^2/Myr,130191514.2155949,2,0.047279234378284886,True,True
48,129,1.377343015078,immediate,mass,Msun/Myr,14.752156379052158,2,0.013206949833719811,True,True
48,129,1.377343015078,immediate,capture_binding_energy,Msun (km/s)^2/Myr,130041758.28426538,2,0.046582312227351236,True,True
48,129,1.447927911662,direct,mass,Msun/Myr,13.80520395967617,2,0.0038665072434100737,True,True
48,129,1.447927911662,direct,capture_binding_energy,Msun (km/s)^2/Myr,124158446.64647679,2,0.005502057806135603,True,True
48,129,1.447927911662,immediate,mass,Msun/Myr,14.99747586534441,2,0.004273135645278348,True,True
48,129,1.447927911662,immediate,capture_binding_energy,Msun (km/s)^2/Myr,124162140.03172214,2,0.00556642273232719,True,True
64,129,1.295141053175,direct,mass,Msun/Myr,14.051444592357138,2,0.036390940171508415,True,True
64,129,1.295141053175,direct,capture_binding_energy,Msun (km/s)^2/Myr,140640053.37221467,2,0.06093281329883959,True,True
64,129,1.295141053175,immediate,mass,Msun/Myr,15.211779181538516,2,0.035420341864218975,True,True
64,129,1.295141053175,immediate,capture_binding_energy,Msun (km/s)^2/Myr,140520516.05775324,2,0.060206042729404004,True,True
64,257,1.295141053175,direct,mass,Msun/Myr,14.06080600205032,2,0.03671240523533659,True,True
64,257,1.295141053175,direct,capture_binding_energy,Msun (km/s)^2/Myr,133359592.76000325,2,0.013531115637548654,True,True
64,257,1.295141053175,immediate,mass,Msun/Myr,15.225413953495528,2,0.03561277641854009,True,True
64,257,1.295141053175,immediate,capture_binding_energy,Msun (km/s)^2/Myr,133308902.4856688,2,0.013378560005132382,True,True
64,257,1.377343015078,direct,mass,Msun/Myr,14.540245121619177,2,0.009264238152959764,True,True
64,257,1.377343015078,direct,capture_binding_energy,Msun (km/s)^2/Myr,142051045.64557624,2,0.025874947124835675,True,True
64,257,1.377343015078,immediate,mass,Msun/Myr,15.731463779763837,2,0.008078684901285726,True,True
64,257,1.377343015078,immediate,capture_binding_energy,Msun (km/s)^2/Myr,141927100.490921,2,0.025379312917355318,True,True
64,257,1.447927911662,direct,mass,Msun/Myr,14.834171967040954,2,0.001398475618528319,True,True
64,257,1.447927911662,direct,capture_binding_energy,Msun (km/s)^2/Myr,137817138.41085014,2,0.05481209927167184,True,True
64,257,1.447927911662,immediate,mass,Msun/Myr,16.063402553776896,2,0.0009852352285002212,True,True
64,257,1.447927911662,immediate,capture_binding_energy,Msun (km/s)^2/Myr,137783240.8240267,2,0.05414392947357672,True,True
