# r_pc rho_Msun_pc3 sigma1d_kms pressure_rho_sigma2 N_scatter_per_orbit
1.455308567915e-06 3.020383110920e+10 6.876643224107e+04 1.428285471698e+20 2.739055057444e-08
1.465478150878e-06 2.988998118686e+10 6.852741699409e+04 1.403635572930e+20 2.766357417935e-08
1.475718798095e-06 2.957939249941e+10 6.828923250583e+04 1.379411091611e+20 2.793931146758e-08
1.486031006158e-06 2.927203115915e+10 6.805187588878e+04 1.355604685721e+20 2.821778932558e-08
1.496415275127e-06 2.896786363050e+10 6.781534426545e+04 1.332209139955e+20 2.849903490526e-08
1.506872108560e-06 2.866685672637e+10 6.757963476838e+04 1.309217363529e+20 2.878307562655e-08
1.517402013530e-06 2.836897760448e+10 6.734474454005e+04 1.286622388036e+20 2.906993918004e-08
1.528005500657e-06 2.807419376386e+10 6.711067073289e+04 1.264417365333e+20 2.935965352970e-08
1.538683084126e-06 2.778247304123e+10 6.687741050921e+04 1.242595565463e+20 2.965224691549e-08
1.549435281717e-06 2.749378360754e+10 6.664496104120e+04 1.221150374619e+20 2.994774785613e-08
1.560262614827e-06 2.720809396446e+10 6.641331951088e+04 1.200075293138e+20 3.024618515180e-08
1.571165608499e-06 2.692537294097e+10 6.618248311004e+04 1.179363933528e+20 3.054758788695e-08
1.582144791441e-06 2.664558968995e+10 6.595244904026e+04 1.159010018537e+20 3.085198543304e-08
1.593200696058e-06 2.636871368482e+10 6.572321451284e+04 1.139007379249e+20 3.115940745142e-08
1.604333858477e-06 2.609471471619e+10 6.549477674875e+04 1.119349953211e+20 3.146988389614e-08
1.615544818568e-06 2.582356288859e+10 6.526713297864e+04 1.100031782600e+20 3.178344501682e-08
1.626834119974e-06 2.555522861720e+10 6.504028044279e+04 1.081047012415e+20 3.210012136159e-08
1.638202310140e-06 2.528968262459e+10 6.481421639106e+04 1.062389888703e+20 3.241994378000e-08
1.649649940334e-06 2.502689593759e+10 6.458893808287e+04 1.044054756814e+20 3.274294342599e-08
1.661177565677e-06 2.476683988407e+10 6.436444278717e+04 1.026036059689e+20 3.306915176087e-08
1.672785745167e-06 2.450948608984e+10 6.414072778241e+04 1.008328336175e+20 3.339860055636e-08
1.684475041712e-06 2.425480647555e+10 6.391779035647e+04 9.909262193688e+19 3.373132189761e-08
1.696246022152e-06 2.400277325361e+10 6.369562780670e+04 9.738244349928e+19 3.406734818632e-08
1.708099257286e-06 2.375335892519e+10 6.347423743980e+04 9.570177997935e+19 3.440671214379e-08
1.720035321904e-06 2.350653627720e+10 6.325361657187e+04 9.405012199726e+19 3.474944681415e-08
1.732054794813e-06 2.326227837932e+10 6.303376252830e+04 9.242696896425e+19 3.509558556743e-08
1.744158258862e-06 2.302055858106e+10 6.281467264382e+04 9.083182893089e+19 3.544516210284e-08
1.756346300976e-06 2.278135050887e+10 6.259634426238e+04 8.926421843805e+19 3.579821045195e-08
1.768619512179e-06 2.254462806323e+10 6.237877473719e+04 8.772366237028e+19 3.615476498200e-08
1.780978487627e-06 2.231036541583e+10 6.216196143066e+04 8.620969381187e+19 3.651486039916e-08
1.793423826632e-06 2.207853700675e+10 6.194590171435e+04 8.472185390534e+19 3.687853175186e-08
1.805956132698e-06 2.184911754167e+10 6.173059296897e+04 8.325969171232e+19 3.724581443420e-08
1.818576013542e-06 2.162208198908e+10 6.151603258433e+04 8.182276407693e+19 3.761674418928e-08
1.831284081132e-06 2.139740557760e+10 6.130221795930e+04 8.041063549144e+19 3.799135711267e-08
1.844080951708e-06 2.117506379324e+10 6.108914650182e+04 7.902287796428e+19 3.836968965584e-08
1.856967245820e-06 2.095503237674e+10 6.087681562882e+04 7.765907089031e+19 3.875177862968e-08
1.869943588351e-06 2.073728732091e+10 6.066522276619e+04 7.631880092339e+19 3.913766120804e-08
1.883010608554e-06 2.052180486802e+10 6.045436534881e+04 7.500166185104e+19 3.952737493124e-08
1.896168940076e-06 2.030856150723e+10 6.024424082045e+04 7.370725447135e+19 3.992095770973e-08
