N_at_first_fluid_shell,all_halo_flux_status,black_hole_grid_index,black_hole_mass_factor,black_hole_mass_msun,black_hole_to_represented_halo_mass,bridge_status,first_shell_gravothermal_luminosity_msun_kms2_per_myr,fp_boundary_angular_kernel_status,fp_geometric_admissible,fp_geometric_reason,fp_loss_cone_kernel_status,halo_grid_index,halo_mass_factor,index,interface_implementation_status,maximum_absolute_gravothermal_luminosity_msun_kms2_per_myr,maximum_outward_gravothermal_luminosity_msun_kms2_per_myr,prep_reason,prep_status,r_h_pc,r_in_over_r_g,r_in_over_r_h,r_in_pc,r_out_pc,radius_of_maximum_absolute_luminosity_pc,represented_halo_mass_msun,rho_boundary_msun_pc3,sigma0_over_m_cm2_g,sigma_boundary_kms,sigma_grid_index,tag,yukawa_w_kms
1.2435844330304708,ALL_HALO_FLUX_COMPLETE,10,1.2589254117941673,5035701.647176669,0.0032949205271003233,SUBGRID_MASS_FRACTION_TOO_LARGE,1303251074.4516342,ANGULAR_JUMP_CORRECTION_REQUIRED,True,GEOMETRIC_FP_DOMAIN_PASS,NONLOCAL_JUMP_OPERATOR_REQUIRED,0,0.1,10,RESOLVED_FP_REPLACEMENT_REQUIRED,1303251074.4516342,1303251074.4516342,,INTERFACE_COMPLETE,3.5221056019288786,6586275.059491085,0.45062619218231886,1.5871530358612247,,2.199520944378699,1528322642.6126614,380.819213014108,10.0,77.19139990408512,0,s0010_h00_bh10,80.0
1.175253463263147,ALL_HALO_FLUX_COMPLETE,11,1.5848931924611136,6339572.769844455,0.004148059181408829,SUBGRID_MASS_FRACTION_TOO_LARGE,2847929527.729387,ANGULAR_JUMP_CORRECTION_REQUIRED,True,GEOMETRIC_FP_DOMAIN_PASS,NONLOCAL_JUMP_OPERATOR_REQUIRED,0,0.1,11,RESOLVED_FP_REPLACEMENT_REQUIRED,2847929527.729387,2847929527.729387,,INTERFACE_COMPLETE,2.8886558698746905,4731407.220429071,0.4969051086484294,1.4353878588680065,,1.7756323555374571,1528322642.6126614,616.1745323387212,10.0,90.72511348094002,0,s0010_h00_bh11,80.0
1.055793350346084,ALL_HALO_FLUX_COMPLETE,12,1.9952623149688797,7981049.259875519,0.005222097113101686,SUBGRID_MASS_FRACTION_TOO_LARGE,6092883572.486162,ANGULAR_JUMP_CORRECTION_REQUIRED,False,MATCHING_RADIUS_OUTSIDE_CONSERVATIVE_KEPLER_DOMAIN,NONLOCAL_JUMP_OPERATOR_REQUIRED,0,0.1,12,RESOLVED_FP_REPLACEMENT_REQUIRED,6092883572.486162,6092883572.486162,,INTERFACE_COMPLETE,2.3474584826110623,3498227.4387824656,0.5691530428301647,1.3360631382955672,,1.4269497447626294,1528322642.6126614,963.3271356560417,10.0,105.39074805837625,0,s0010_h00_bh12,80.0
0.9050307518997607,ALL_HALO_FLUX_COMPLETE,13,2.51188643150958,10047545.72603832,0.006574230758540672,SUBGRID_MASS_FRACTION_TOO_LARGE,12725323086.362188,ANGULAR_JUMP_CORRECTION_REQUIRED,False,MATCHING_RADIUS_OUTSIDE_CONSERVATIVE_KEPLER_DOMAIN,NONLOCAL_JUMP_OPERATOR_REQUIRED,0,0.1,13,RESOLVED_FP_REPLACEMENT_REQUIRED,12725323086.362188,12725323086.362188,,INTERFACE_COMPLETE,1.895465018332092,2443868.901607743,0.6199277417008894,1.1750513482876488,,1.1431097258979226,1528322642.6126614,1722.1253057944368,10.0,122.71172855588274,0,s0010_h00_bh13,80.0
0.744368987876795,ALL_HALO_FLUX_COMPLETE,14,3.1622776601683795,12649110.640673518,0.008276466164925696,SUBGRID_MASS_FRACTION_TOO_LARGE,25926700944.99973,ANGULAR_JUMP_CORRECTION_REQUIRED,False,MATCHING_RADIUS_OUTSIDE_CONSERVATIVE_KEPLER_DOMAIN,NONLOCAL_JUMP_OPERATOR_REQUIRED,0,0.1,14,RESOLVED_FP_REPLACEMENT_REQUIRED,25926700944.99973,25926700944.99973,,INTERFACE_COMPLETE,1.5236925401761443,1903503.6285105888,0.7561976229863636,1.1522126770432546,,0.9137049674373009,1528322642.6126614,2463.854339027714,10.0,138.4109434048599,0,s0010_h00_bh14,80.0
0.5909355642388011,ALL_HALO_FLUX_COMPLETE,15,3.981071705534973,15924286.822139893,0.010419453574879575,SUBGRID_MASS_FRACTION_TOO_LARGE,51560291900.217804,ANGULAR_JUMP_CORRECTION_REQUIRED,False,MATCHING_RADIUS_OUTSIDE_CONSERVATIVE_KEPLER_DOMAIN,NONLOCAL_JUMP_OPERATOR_REQUIRED,0,0.1,15,RESOLVED_FP_REPLACEMENT_REQUIRED,51560291900.217804,51560291900.217804,,INTERFACE_COMPLETE,1.2210261649327139,1507726.7376445378,0.9409717958829705,1.148951183236832,,0.7292010426007214,1528322642.6126614,3437.271708022555,10.0,154.96990313615044,0,s0010_h00_bh15,80.0
0.4553644945672895,ALL_HALO_FLUX_COMPLETE,16,5.011872336272724,20047489.345090896,0.013117314882425476,SUBGRID_MASS_FRACTION_TOO_LARGE,100227782552.04742,,False,MATCHING_RADIUS_OUTSIDE_CONSERVATIVE_KEPLER_DOMAIN,NONLOCAL_JUMP_OPERATOR_REQUIRED,0,0.1,16,RESOLVED_FP_REPLACEMENT_REQUIRED,100227782552.04742,100227782552.04742,,INTERFACE_COMPLETE,0.9763261673625032,1211904.6043987796,1.1908373463676958,1.1626456623313062,,0.5813064342903291,1528322642.6126614,4700.402186415246,10.0,172.44799503467547,0,s0010_h00_bh16,80.0
0.34228914379857817,ALL_HALO_FLUX_COMPLETE,17,6.309573444801933,25238293.779207733,0.01651372103999125,SUBGRID_MASS_FRACTION_TOO_LARGE,190805657512.2632,,False,MATCHING_RADIUS_OUTSIDE_CONSERVATIVE_KEPLER_DOMAIN,NONLOCAL_JUMP_OPERATOR_REQUIRED,0,0.1,17,RESOLVED_FP_REPLACEMENT_REQUIRED,190805657512.2632,190805657512.2632,,INTERFACE_COMPLETE,0.779429969295068,981802.8942367798,1.5213395218430175,1.1857776167974765,,0.4630323462240292,1528322642.6126614,6305.205398633045,10.0,190.80531527936117,0,s0010_h00_bh17,80.0
0.25203434313926326,ALL_HALO_FLUX_COMPLETE,18,7.943282347242816,31773129.38897126,0.020789543060524985,SUBGRID_MASS_FRACTION_TOO_LARGE,356493588047.862,,False,MATCHING_RADIUS_OUTSIDE_CONSERVATIVE_KEPLER_DOMAIN,NONLOCAL_JUMP_OPERATOR_REQUIRED,0,0.1,18,RESOLVED_FP_REPLACEMENT_REQUIRED,356493588047.862,356493588047.862,,INTERFACE_COMPLETE,0.6215225948526034,803370.2240984893,1.965340254983968,1.221503375045913,,0.36860124456072224,1528322642.6126614,8293.298894642752,10.0,209.93827227701664,0,s0010_h00_bh18,80.0
0.18241632374620886,ALL_HALO_FLUX_COMPLETE,19,10.0,40000000.0,0.026172484058483988,SUBGRID_MASS_FRACTION_TOO_LARGE,655110155969.7773,,False,MATCHING_RADIUS_OUTSIDE_CONSERVATIVE_KEPLER_DOMAIN,NONLOCAL_JUMP_OPERATOR_REQUIRED,0,0.1,19,RESOLVED_FP_REPLACEMENT_REQUIRED,655110155969.7773,655110155969.7773,,INTERFACE_COMPLETE,0.49518057029585344,663960.5834407532,2.5665967640916287,1.2709288493623847,,0.29329543976040473,1528322642.6126614,10679.63067621567,10.0,229.6581902290968,0,s0010_h00_bh19,80.0
