tau_relax,control_rho_inner_mean_msun_pc3,sink_rho_inner_mean_msun_pc3,sink_over_control_rho_inner_mean_msun_pc3,control_sigma_inner_1d_kms,sink_sigma_inner_1d_kms,sink_over_control_sigma_inner_1d_kms,control_r_inner_pc,sink_r_inner_pc,sink_over_control_r_inner_pc
0.0,5.53464172639184,5.53464172639184,1.0,38.78324304791049,38.78324304791049,1.0,20.671968517391097,20.671968517391097,1.0
0.0020000356041493983,7.189090366072494,7.189578766623499,1.0000679363488474,36.70152912022277,36.700988305566625,0.9999852645197868,18.946106540186367,18.945677508252608,0.9999773551398093
0.004000082849244055,8.488115232158718,8.489102734822472,1.0001163394507198,35.73386422920938,35.73308746539564,0.9999782625296622,17.925615384699743,17.924920276163743,0.9999612226123855
0.006000006840079614,9.60553050304022,9.607056101977602,1.000158825057804,35.1506080022455,35.14966940601267,0.9999732978663479,17.201671488715455,17.20076088830218,0.9999470632598774
0.008000041423249846,10.609675463101325,10.611767959424583,1.0001972252903055,34.756256556958476,34.75520076271672,0.9999696229011307,16.640908477983416,16.639814607317245,0.9999342661689644
0.010000039812997248,11.536971854598074,11.539665772251954,1.0002335030099607,34.47057541443685,34.46942518923874,0.9999666316797942,16.1825552097823,16.181295835280675,0.9999221770304318
0.012000031722499178,12.409899296216338,12.413224465217041,1.0002679448818508,34.25374218208286,34.25251536637412,0.9999641844764808,15.793859589759538,15.79244920150306,0.999910700215583
0.014000038406930879,13.243530691258254,13.24751796915324,1.0003010736326996,34.08354923951858,34.08225859178303,0.9999621328246515,15.455263673287803,15.453712914763578,0.9998996614644042
0.016000028161511495,14.048597731119578,14.053278995185966,1.0003332193117054,33.946556556566215,33.94521192441588,0.999960389733548,15.15421150015064,15.152528636322446,0.9998889507495539
0.01800000218530834,14.833137046207115,14.838546036554131,1.000364655860063,33.834116630305466,33.83272579253877,0.9999588924462873,14.882183633812017,14.880375102613844,0.9998784767583391
0.020000024477661534,15.60342158941858,15.609594158128738,1.0003955907154585,33.740396958597,33.73896632183805,0.9999575986980619,14.633146081964037,14.631216999450281,0.999868170350863
0.022000025290272007,16.36444807628749,16.371422639057506,1.0004262021387769,33.66132120414284,33.65985615121715,0.9999564766659989,14.402698283437681,14.400652698724446,0.9998579721193225
0.024000023791704076,17.12038614601693,17.128204274463503,1.0004566560812294,33.59394419718781,33.59244930529753,0.9999555011498052,14.187519141542364,14.185360180882313,0.9998478267667158
0.02600000280962087,17.8747742179415,17.88348097453164,1.0004870974303777,33.53608713932179,33.53456638911215,0.999954653320069,13.985053113845781,13.982783144240809,0.9998376860218912
0.02800000627598265,18.630727046717375,18.64037139999106,1.0005176584493725,33.48610089608444,33.48455781771948,0.9999539188402451,13.793284807811817,13.790905546553379,0.9998275058268143
0.030000038312367232,19.39102123970794,19.401656369456475,1.000548456402428,33.442716648611324,33.44115445596449,0.9999532875076134,13.610604287459447,13.608116910417442,0.9998172471266176
0.03200001445828388,20.158167880371714,20.16985181894328,1.0005796131196498,33.40494369061052,33.403365313953294,0.9999527502075187,13.435709734226334,13.433114886902443,0.9998068693522545
0.03400002000456314,20.934582599300118,20.94737855951104,1.0006112355070957,33.37199374684715,33.370401965756706,0.9999523018881484,13.267513165939057,13.264811063239044,0.9997963369121088
0.03600003385663486,21.72253599480668,21.736513304930767,1.0006434474376025,33.34323698347762,33.341634393294434,0.999951936574605,13.105113452659424,13.102303828647186,0.9997856085700908
0.03800002202346119,22.524235522921202,22.53947004436711,1.000676361310039,33.31816384672013,33.31655296238839,0.9999516514673753,12.947748987295268,12.944831172167737,0.9997746469189049
0.04000000944648912,23.341893734282632,23.35846870481155,1.0007100953640524,33.296358205495686,33.29474149402061,0.9999514447957012,12.794763417917505,12.791736338276205,0.9997634126132368
0.04200000289269023,24.17773330307337,24.1957402280734,1.0007447730841559,33.27747909474962,33.275859007249466,0.999951315798425,12.645589885351109,12.642452066457711,0.9997518645692414
0.04400002157085906,25.034032180156668,25.05357171909559,1.000780519046964,33.26124572443713,33.25962477052552,0.9999512659891021,12.4997314694649,12.496481056142184,0.9997399613479172
0.04600002727491892,25.913123966279485,25.93430732812322,1.0008174761897215,33.24742705537487,33.24580776030204,0.9999512956274742,12.356752818280901,12.353387523454549,0.999727655406251
0.048000014525183564,26.81746714765638,26.84041722898146,1.0008557885500042,33.235832414566175,33.234217416699664,0.9999514079308631,12.21626268261644,12.212779812026143,0.9997148988458432
0.050000023874559194,27.749684824486174,27.774537869200802,1.0008956153870512,33.226305226357674,33.224697293184086,0.9999516066212408,12.077904606370755,12.07430102720409,0.9997016387126652
0.05200001104743247,28.71253802421598,28.739445344481965,1.0009371278931625,33.21871863784747,33.21712072080673,0.9999518970897655,11.941358882957534,11.937631006780313,0.9996878180939238
0.05400000725040079,29.709036745525164,29.738166912518523,1.0009805153644957,33.212970937810404,33.211386199401396,0.9999522855569899,11.806325521740744,11.802469269643945,0.9996733740663258
0.05600001285970009,30.74243116152159,30.773972451956013,1.0010259855594603,33.208983150867326,33.207415020888035,0.9999527799459512,11.6725266029631,11.66853737202115,0.9996582375797768
0.05800000855566282,31.81626079828137,31.850424102397334,1.0010737686723328,33.20669675718577,33.205148997732074,0.9999533901410005,11.5397011393279,11.535573759098982,0.9996423321384944
0.0593231093924701,32.551657688944644,32.586793446409416,1.00107938458313,33.20628355085323,33.20456718094437,0.999948311893855,11.452137923975434,11.448020454835742,0.9996404628404736
