branch,tau_relax,time_myr,rho_inner_mean_msun_pc3,sigma_inner_1d_kms,r_inner_pc,inner_shell_mass_msun,rho_c_msun_pc3,sigma_c_kms,r0_pc,M_bh_msun,L_inner_msun_kms2_per_myr,captured_mass_msun,E_boundary_msun_kms2,E_conduction_budget_error_msun_kms2,E_total_code,n_conduction,lmfp_scaleheight_factor_inner,lmfp_scaleheight_factor_min
control,0.02000004530671839,3.7042859847151863,15.603429816255275,33.74039598391613,14.633143510208328,204797.0322016099,15.603429816255275,33.74039598391613,14.633143510208328,3999999.999999999,0.0,0.0,0.0,-1.0060480619932745e-10,-0.22376689868810642,294485,0.1331461790601746,0.08649881071547916
control,0.022000043755841636,4.074713456799495,16.364455271304813,33.66132047491131,14.40269617260747,204797.0322016099,16.364455271304813,33.66132047491131,14.40269617260747,3999999.999999999,0.0,0.0,0.0,-1.5137286173689455e-10,-0.22376691308001298,335162,0.133146174766729,0.08552520032102226
control,0.024000036826520795,4.445139932721309,17.12039118485633,33.59394375850449,14.187517749660463,204797.0322016099,17.12039118485633,33.59394375850449,14.187517749660463,3999999.999999999,0.0,0.0,0.0,-1.40650915859017e-10,-0.2237669277179943,377676,0.13314617107320278,0.08461668769076991
control,0.02600001254585497,4.8155631949332,17.87477797017755,33.536086857906895,13.985052135274037,204797.0322016099,17.87477797017755,33.536086857906895,13.985052135274037,3999999.999999999,0.0,0.0,0.0,-1.7109742141423717e-10,-0.2237669425675758,422024,0.13314616784520622,0.08376138687953641
control,0.028000019646339476,5.185992269369693,18.630732205776336,33.48610056216748,13.79328353463912,204797.0322016099,18.630732205776336,33.48610056216748,13.79328353463912,3999999.999999999,0.0,0.0,0.0,-2.643711866681116e-10,-0.223766957609137,468212,0.13314616498544943,0.08295000575242563
control,0.03000002588222771,5.556421183670956,19.39101656368004,33.44271688350838,13.610605381498589,204797.0322016099,19.39101656368004,33.44271688350838,13.610605381498589,3999999.999999999,0.0,0.0,0.0,-2.6529055173781826e-10,-0.22376697283271374,516251,0.13314616242193283,0.08217518539912218
control,0.032000034183985414,5.926850480599918,20.158175594450316,33.40494331826751,13.435708020377659,204797.0322016099,20.158175594450316,33.40494331826751,13.435708020377659,3999999.999999999,0.0,0.0,0.0,-2.1874918755968172e-10,-0.22376698823616228,566159,0.13314616010007152,0.08143095816896827
control,0.03400001569738483,6.297274815953113,20.934580933539657,33.37199380880368,13.267513517837006,204797.0322016099,20.934580933539657,33.37199380880368,13.267513517837006,3999999.999999999,0.0,0.0,0.0,-2.9134320864820664e-10,-0.22376700382286827,617959,0.13314615797780205,0.08071242840887277
control,0.03600003447585479,6.667706053314598,21.7225362432978,33.343236974578126,13.105113402688195,204797.0322016099,21.7225362432978,33.343236974578126,13.105113402688195,3999999.999999999,0.0,0.0,0.0,-3.3013563866738714e-10,-0.22376701960154521,671682,0.13314615602203084,0.0800154793851438
control,0.03800002468242836,7.038131998764302,22.524236608204667,33.318163813398144,12.947748779341731,204797.0322016099,22.524236608204667,33.318163813398144,12.947748779341731,3999999.999999999,0.0,0.0,0.0,-3.731428202398981e-10,-0.22376703558369088,727361,0.13314615420648157,0.0793366699608918
control,0.04000001838860285,7.4085585923886725,23.34189745566897,33.29635810803274,12.794762737963074,204797.0322016099,23.34189745566897,33.29635810803274,12.794762737963074,3999999.999999999,0.0,0.0,0.0,-3.6907134635976865e-10,-0.22376705178486966,785037,0.13314615250982856,0.07867301806061525
control,0.04200002917827589,7.778988350114085,24.177744482754985,33.2774788466951,12.64558793626185,204797.0322016099,24.177744482754985,33.2774788466951,12.64558793626185,3999999.999999999,0.0,0.0,0.0,-3.9355988867104574e-10,-0.22376706822348943,844756,0.13314615091464965,0.07802193829533716
control,0.044000019238334194,8.149414268427131,25.034031172498505,33.26124574055663,12.49973163717608,204797.0322016099,25.034031172498505,33.26124574055663,12.49973163717608,3999999.999999999,0.0,0.0,0.0,-4.64267420395757e-10,-0.2237670849203415,906568,0.1331461494065626,0.07738117158159884
control,0.04600002462192586,8.51984302487124,25.913122787121864,33.247427070757894,12.356753005709283,204797.0322016099,25.913122787121864,33.247427070757894,12.356753005709283,3999999.999999999,0.0,0.0,0.0,-4.5778410568341014e-10,-0.2237671018995853,970531,0.13314614797341312,0.07674868187229637
control,0.04800001617003269,8.890269218791524,26.817467904245014,33.23583240503206,12.216262567732507,204797.0322016099,26.817467904245014,33.23583240503206,12.216262567732507,3999999.999999999,0.0,0.0,0.0,-4.564229677880003e-10,-0.2237671191876238,1036707,0.1331461466049669,0.07612265082716872
control,0.05000001470504114,9.260696706782966,27.74968048486794,33.226305261144546,12.077905235969705,204797.0322016099,27.74968048486794,33.226305261144546,12.077905235969705,3999999.999999999,0.0,0.0,0.0,-5.296139791815295e-10,-0.22376713681420518,1105166,0.13314614529241828,0.07550140064991406
control,0.05200001530490152,9.631124577213644,28.712540109043317,33.21871862169939,11.941358593935389,204797.0322016099,28.712540109043317,33.21871862169939,11.941358593935389,3999999.999999999,0.0,0.0,0.0,-5.435298231911801e-10,-0.22376715481195655,1175984,0.13314614402815705,0.07488338461123352
control,0.05400000403156843,10.001550248564095,29.709035110639935,33.21297094422878,11.806325738307775,204797.0322016099,29.709035110639935,33.21297094422878,11.806325738307775,3999999.999999999,0.0,0.0,0.0,-5.191666488439539e-10,-0.22376717321679665,1249244,0.13314614280550793,0.07426715369929696
control,0.05600002103140482,10.371981156497958,30.74243545640379,33.20898313457484,11.672526059391505,204797.0322016099,30.74243545640379,33.20898313457484,11.672526059391505,3999999.999999999,0.0,0.0,0.0,-5.335302355823578e-10,-0.22376719206885778,1325039,0.1331461416185149,0.07365131330717155
control,0.05800000770163273,10.742406446967363,31.816260329002958,33.206696757452484,11.5397011960634,204797.0322016099,31.816260329002958,33.206696757452484,11.5397011960634,3999999.999999999,0.0,0.0,0.0,-4.954721036383326e-10,-0.22376721141149103,1403467,0.13314614046191606,0.07303454941549752
control,0.06000001980839973,11.112836448636859,32.93444157713933,33.20607215272539,11.407597024487249,204797.0322016099,32.93444157713933,33.20607215272539,11.407597024487249,3999999.999999999,0.0,0.0,0.0,-5.370345686727331e-10,-0.22376723129378254,1484640,0.1331461393308744,0.07241554422252958
sink,0.0,0.0,5.53464172639184,38.78324304791049,20.671968517391097,204797.0322016099,5.53464172639184,38.78324304791049,20.671968517391097,3999999.999999999,-133675.11181299388,0.0,0.0,0.0,-0.2237668699588254,0,0.1331467239565154,0.11775584168612098
sink,0.0020000356041493983,0.370434353710852,7.189578766623499,36.700988305566625,18.945677508252608,204797.0322016099,7.189578766623499,36.700988305566625,18.945677508252608,3999999.999999999,-133675.11181299388,5.208605584023179,-49517.85365167248,-2.099208576173838e-09,-0.22376682776403203,18155,0.13314641830691654,0.10637580893581558
sink,0.004000082849244055,0.7408708634863383,8.489102734822472,35.73308746539564,17.924920276163743,204797.0322016099,8.489102734822472,35.73308746539564,17.924920276163743,3999999.999999999,-133675.11181299388,10.41724148405291,-99035.99551552557,-5.977212450090064e-09,-0.22376681951170838,39613,0.1331463173462827,0.10116888468586206
sink,0.006000006840079614,1.1112845448623119,9.6070561019776,35.14966940601266,17.20076088830218,204797.0322016099,9.6070561019776,35.14966940601266,17.20076088830218,3999999.999999999,-133675.11181299388,15.625556398385752,-148551.08579052286,-7.3923223733806425e-09,-0.2237668226191853,63840,0.13314626822278408,0.09773495547657281
sink,0.008000041423249846,1.4817187094736515,10.611767959424585,34.755200762716726,16.639814607317245,204797.0322016099,10.611767959424585,34.755200762716726,16.639814607317245,3999999.999999999,-133675.11181299388,20.834159323517373,-198068.91416429778,-6.421270629304602e-09,-0.22376683102860176,90532,0.1331462395175657,0.09517977407220282
sink,0.010000039812997248,1.8521461705607305,11.539665772251952,34.469425189238734,16.18129583528068,204797.0322016099,11.539665772251952,34.469425189238734,16.18129583528068,3999999.999999999,-133675.11181299388,26.042667991694834,-247585.8464437147,-5.4719047446173144e-09,-0.22376684232128558,119487,0.13314622076295898,0.09314375733428779
sink,0.012000031722499178,2.2225724314164044,12.413224465217043,34.25251536637411,15.792449201503063,204797.0322016099,12.413224465217043,34.25251536637411,15.792449201503063,3999999.999999999,-133675.11181299388,31.251159783651353,-297102.61828206957,-4.561063390549836e-09,-0.22376685533745996,150567,0.13314620753934278,0.09144676635488902
sink,0.014000038406930879,2.593001428794143,13.24751796915324,34.08225859178303,15.453712914763576,204797.0322016099,13.24751796915324,34.08225859178303,15.453712914763576,3999999.999999999,-133675.11181299388,36.45969005331374,-346619.7559253141,-3.5941019628604272e-09,-0.22376686945553326,183674,0.13314619768303784,0.08998628215274022
