# r[pc] rho[Msun/pc3] sigma[km/s] N gamma
3.557773619592352077e+01 2.809246261260139654e+00 3.129753540916721732e+01 1.311823397251204959e+01 6.423328294198427102e-02
3.613806338061890244e+01 2.806385554469891463e+00 3.129705783890499760e+01 1.331126906063848381e+01 6.619385139648414906e-02
3.670700376892681049e+01 2.803441671209608632e+00 3.129656593864503122e+01 1.350665203207752185e+01 6.821403206416221110e-02
3.728469843716948873e+01 2.800412231665544205e+00 3.129605926968141105e+01 1.370439447712463377e+01 7.029559507820692943e-02
3.787129134476666792e+01 2.797294801068289427e+00 3.129553738120909046e+01 1.390450724398917792e+01 7.244005313081203212e-02
3.846693600398317869e+01 2.794086862580860142e+00 3.129499980559616645e+01 1.410700267673189678e+01 7.464908330549491211e-02
3.907179468898545593e+01 2.790785800472427525e+00 3.129444605534365920e+01 1.431189414046362884e+01 7.692490573045773772e-02
3.968602885503467803e+01 2.787388927434891084e+00 3.129387562743156082e+01 1.451919255044198209e+01 7.926977089181974634e-02
4.030979883412712184e+01 2.783893510784947178e+00 3.129328800749432915e+01 1.472890632004196476e+01 8.168571772581856294e-02
4.094326317519442426e+01 2.780296774910561375e+00 3.129268267001379655e+01 1.494104106297452006e+01 8.417468349736623168e-02
4.158658328922398795e+01 2.776595889461207278e+00 3.129205907610047177e+01 1.515560115236054628e+01 8.673863363971889839e-02
4.223992388768097328e+01 2.772787954441107150e+00 3.129141667072549282e+01 1.537258971004277619e+01 8.937969668644285548e-02
4.290345425184835904e+01 2.768869994527878298e+00 3.129075488147942252e+01 1.559200893780757013e+01 9.210009333984459090e-02
4.357734766640654556e+01 2.764838956390479385e+00 3.129007311781561640e+01 1.581385978918296686e+01 9.490214482390513240e-02
4.426178139256835209e+01 2.760691709793463566e+00 3.128937077091481456e+01 1.603814185528528213e+01 9.778822374181572741e-02
4.495693638140775761e+01 2.756425048016646340e+00 3.128864721341716404e+01 1.626485314941996663e+01 1.007607639673508970e-01
4.566299725919306240e+01 2.752035688319571349e+00 3.128790179914363634e+01 1.649398998742905320e+01 1.038222532483743521e-01
4.638015232422886669e+01 2.747520271644662948e+00 3.128713386266880292e+01 1.672554686382925482e+01 1.069752412777873474e-01
4.710859361985832550e+01 2.742875362130033245e+00 3.128634271883981199e+01 1.695951634988679047e+01 1.102223411221956439e-01
4.784851701984131012e+01 2.738097446430210358e+00 3.128552766223978310e+01 1.719588899010058114e+01 1.135662326780746412e-01
4.860012233072753673e+01 2.733182933028446282e+00 3.128468796662532014e+01 1.743465319956550630e+01 1.170096642798270636e-01
4.936361340015687205e+01 2.728128151566475257e+00 3.128382288434112368e+01 1.767579515815062408e+01 1.205554544381826076e-01
5.013919823173795720e+01 2.722929352231054256e+00 3.128293164571689644e+01 1.791929870177018458e+01 1.242064932446353964e-01
5.092708910465192673e+01 2.717582705208694716e+00 3.128201345844724912e+01 1.816514520996516779e+01 1.279657437373167284e-01
5.172750269940384982e+01 2.712084300217834532e+00 3.128106750695427962e+01 1.841331349017669083e+01 1.318362432401016804e-01
5.254066022852551754e+01 2.706430146126265868e+00 3.128009295173298199e+01 1.866377965814505302e+01 1.358211047095849722e-01
5.336678757311884880e+01 2.700616170663926230e+00 3.127908892867919377e+01 1.891651701463026214e+01 1.399235180207014650e-01
5.420611542531597138e+01 2.694638220237318471e+00 3.127805454839944233e+01 1.917149591833145550e+01 1.441467512408571849e-01
5.505887943740630419e+01 2.688492059852724214e+00 3.127698889550238803e+01 1.942868365512558171e+01 1.484941519503131246e-01
5.592532037619853469e+01 2.682173373161531593e+00 3.127589102787181830e+01 1.968804430301691610e+01 1.529691484489994480e-01
5.680568428541510428e+01 2.675677762633841272e+00 3.127475997592050661e+01 1.994953859363630855e+01 1.575752509465324636e-01
5.770022265460182354e+01 2.669000749867849187e+00 3.127359474182400945e+01 2.021312376960773705e+01 1.623160528167275629e-01
