# r[pc] rho[Msun/pc3] sigma[km/s] N gamma
5.266281028025614432e+03 7.602684769481265342e-04 2.436598793725138989e+01 5.255067091957440484e-01 2.193233947139972884e+00
5.435690889102799702e+03 7.092486017213580664e-04 2.424831614038370375e+01 5.060116205312849003e-01 2.194810455375815650e+00
5.608710933089165337e+03 6.620935358661238180e-04 2.413144212197571647e+01 4.874046360955134327e-01 2.196619635909840440e+00
5.785377040588086857e+03 6.184734647021452800e-04 2.401533351836741303e+01 4.696344957863386460e-01 2.198642146726541569e+00
5.965725595116910881e+03 5.780901304845121550e-04 2.389995411661126923e+01 4.526537041575262044e-01 2.200860328520519715e+00
6.149793437223377623e+03 5.406734751817257600e-04 2.378526441494145516e+01 4.364181894842822929e-01 2.203258190593246013e+00
6.337617823489694274e+03 5.059786733383932070e-04 2.367122214489709009e+01 4.208869971647878350e-01 2.205821386138524076e+00
6.529236390770742219e+03 4.737835067884298254e-04 2.355778275602934713e+01 4.060220139762968916e-01 2.208537179544180162e+00
6.724687126249513312e+03 4.438860391375424349e-04 2.344489986468175147e+01 3.917877200417567152e-01 2.211394407395118833e+00
6.924008343677330231e+03 4.161025532922917654e-04 2.333252566877569478e+01 3.781509656312491696e-01 2.214383436107254965e+00
7.127238666169190765e+03 3.902657200085561315e-04 2.322061133097372121e+01 3.650807702069912009e-01 2.217496117709913506e+00
7.334417015871169497e+03 3.662229695134602684e-04 2.310910733285061269e+01 3.525481413714238177e-01 2.220725745296732612e+00
7.545582610946728892e+03 3.438350418015913399e-04 2.299796380293990339e+01 3.405259116104363826e-01 2.224067010369168429e+00
7.760774970065852358e+03 3.229746943112758598e-04 2.288713082171114621e+01 3.289885909338322034e-01 2.227515963165700441e+00
7.980033924823962479e+03 3.035255483775172423e-04 2.277655870664098714e+01 3.179122337235880114e-01 2.231069976872703364e+00
8.203399640409807034e+03 2.853810581939553756e-04 2.266619828059946684e+01 3.072743182666835549e-01 2.234727717130823521e+00
8.430912644957077646e+03 2.684435880566983252e-04 2.255600112677514346e+01 2.970536376188558925e-01 2.238489117614250290e+00
8.662613867933059737e+03 2.526235854356982885e-04 2.244591983335942231e+01 2.872302005891783083e-01 2.242355362206353675e+00
8.898544688098752886e+03 2.378388389598979811e-04 2.233590823112105994e+01 2.777851417728735006e-01 2.246328874226350081e+00
9.138746991497320778e+03 2.240138117441598030e-04 2.222592162689437956e+01 2.687006396748463088e-01 2.250413312957391554e+00
9.383263240117496025e+03 2.110790416541437331e-04 2.211591703585195035e+01 2.599598420787972430e-01 2.254613577381519463e+00
9.632136551847013834e+03 1.989706011229471828e-04 2.200585341521910010e+01 2.515467979100400875e-01 2.258935817151439096e+00
9.885410792398050035e+03 1.876296100233379980e-04 2.189569190186201197e+01 2.434463949310240460e-01 2.263387449709938437e+00
1.014313068010851566e+04 1.770017958696542323e-04 2.178539605584815320e+01 2.356443026859682821e-01 2.267977183321391976e+00
1.040534190434400807e+04 1.670370963025081840e-04 2.167493211177161072e+01 2.281269201781118416e-01 2.272715044584174393e+00
1.067209125852906072e+04 1.576892994007572798e-04 2.156426923916859195e+01 2.208813278335336749e-01 2.277612408613805428e+00
1.094342678878766310e+04 1.489157178787811121e-04 2.145337981291155671e+01 2.138952433546740250e-01 2.282682030425263520e+00
1.121939795922395751e+04 1.406768936832719771e-04 2.134223969387416275e+01 2.071569811225890956e-01 2.287938074502250174e+00
1.150005583505346840e+04 1.329363298972414172e-04 2.123082851955022932e+01 2.006554148511098257e-01 2.293396140029358321e+00
1.178545328459875418e+04 1.256602472095226953e-04 2.111913000356589976e+01 1.943799432362980639e-01 2.299073277938845195e+00
1.207564520142320362e+04 1.188173625123143540e-04 2.100713224224159958e+01 1.883204583847790103e-01 2.304987995474931495e+00
1.237068874768620117e+04 1.123786874575371587e-04 2.089482802541443007e+01 1.824673168335857187e-01 2.311160243743898945e+00
1.267064361980872673e+04 1.063173450402577776e-04 2.078221514776891965e+01 1.768113130068413585e-01 2.317611382062551684e+00
1.297557233759782321e+04 1.006084024830530263e-04 2.066929671579218919e+01 1.713436549790612051e-01 2.324364113513610164e+00
1.328554055753963257e+04 9.522871888037875846e-05 2.055608144432936513e+01 1.660559424363265979e-01 2.331442384570181048e+00
1.360061741100799372e+04 9.015680622330649453e-05 2.044258393547890407e+01 1.609401467502124539e-01 2.338871240678571439e+00
1.392087586788832596e+04 8.537270256457552204e-05 2.032882493123559442e+01 1.559885930912044971e-01 2.346676630460194701e+00
1.424639312568663081e+04 8.085785620973183257e-05 2.021483153001699407e+01 1.511939445208291544e-01 2.354885150292858498e+00
1.457725102376444192e+04 7.659501993054498804e-05 2.010063735593006484e+01 1.465491880116646106e-01 2.363523720638852410e+00
1.491353648195799724e+04 7.256815429169033221e-05 1.998628266842549550e+01 1.420476223476181410e-01 2.372619186651434120e+00
1.525534196206945307e+04 6.876233926584252780e-05 1.987181439895068280e+01 1.376828478545349121e-01 2.382197835900257132e+00
1.560276595030714634e+04 6.516369338460525223e-05 1.975728610035706012e+01 1.334487579063194096e-01 2.392284828546422659e+00
1.595591345740618090e+04 6.175929973746900582e-05 1.964275779437326008e+01 1.293395321373375095e-01 2.402903536313488075e+00
1.631489653299530073e+04 5.853713818394756639e-05 1.952829570239284962e+01 1.253496312771290311e-01 2.414074790936638237e+00
1.667983478898758040e+04 5.548602319191050651e-05 1.941397184531679443e+01 1.214737934929244062e-01 2.425816046760473910e+00
1.705085592633434862e+04 5.259554675565082551e-05 1.929986349947971647e+01 1.177070320999309000e-01 2.438140466645990045e+00
1.742809625797083572e+04 4.985602588115735693e-05 1.918605249769867527e+01 1.140446344561867609e-01 2.451055947910390387e+00
1.781170121989439940e+04 4.725845415706145263e-05 1.907262436755232216e+01 1.104821618185397453e-01 2.464564111692652659e+00
1.820182586086533047e+04 4.479445695701722010e-05 1.895966730317334736e+01 1.070154498866549148e-01 2.478659286754322011e+00
1.859863530076997995e+04 4.245624984370127111e-05 1.884727097208042323e+01 1.036406097139864896e-01 2.493327528057932341e+00
1.900230514628272431e+04 4.023659976934901208e-05 1.873552516511104216e+01 1.003540286114834174e-01 2.508545718575589945e+00
1.941302185236140940e+04 3.812878869358802327e-05 1.862451830514589801e+01 9.715237062815094971e-02 2.524280810051521939e+00
1.983098301741906835e+04 3.612657926698604864e-05 1.851433583898501922e+01 9.403257615239181411e-02 2.540489264084015986e+00
2.025639760092212600e+04 3.422418225995191190e-05 1.840505854601070723e+01 9.099186015699849139e-02 2.557116758477320673e+00
2.068948605225782740e+04 3.241622545350269846e-05 1.829676080691691453e+01 8.802770860273866071e-02 2.574098222865501384e+00
2.113048034174105123e+04 3.069772375100564748e-05 1.818950888515442443e+01 8.513787253836349600e-02 2.591358260851620798e+00
2.157962388648001433e+04 2.906405031847247381e-05 1.808335928192859754e+01 8.232035948120480784e-02 2.608812005477943785e+00
2.203717136685767764e+04 2.751090861585539561e-05 1.797835723206405234e+01 7.957342174490968090e-02 2.626366435137043709e+00
2.250338843326201822e+04 2.603430524096309200e-05 1.787453541146113167e+01 7.689554149590040188e-02 2.643922154134884295e+00
2.297855130636970352e+04 2.463052357060492093e-05 1.777191292668403477e+01 7.428541246747638604e-02 2.661375609615703297e+00
2.346294628000735975e+04 2.329609824542516386e-05 1.767049465215204052e+01 7.174191843849889172e-02 2.678621683509192053e+00
2.395686913969043962e+04 2.202779060338908219e-05 1.757027097022333706e+01 6.926410877481620210e-02 2.695556562206036233e+00
2.446062451549320758e+04 2.082256521774696008e-05 1.747121795373378461e+01 6.685117153644151711e-02 2.712080750981215260e+00
2.497452519214221684e+04 1.967756773266984098e-05 1.737329800956180392e+01 6.450240484291686061e-02 2.728102074588605319e+00
2.549889140246218449e+04 1.859010421150739077e-05 1.727646097675315318e+01 6.221718735468746708e-02 2.743538485337808197e+00
2.603405013309688366e+04 1.755762221368419620e-05 1.718064564493917601e+01 5.999494884810076950e-02 2.758320497778640856e+00
2.658033447130450077e+04 1.657769379621134282e-05 1.708578163078074041e+01 5.783514191776330943e-02 2.772393082363407757e+00
2.713808302052038562e+04 1.564800059475270839e-05 1.699179152458095388e+01 5.573721582656845225e-02 2.785716880094071257e+00
2.770763940924107737e+04 1.476632107861958596e-05 1.689859319886713251e+01 5.370059342887910370e-02 2.798268650121713108e+00
2.828935191199007750e+04 1.393052000056302406e-05 1.680610215843565314e+01 5.172465192432135900e-02 2.810040921432232608e+00
2.888357319482296225e+04 1.313853998116521521e-05 1.671423380897916289e+01 4.980870797052573684e-02 2.821040885624199746e+00
2.949066019082491039e+04 1.238839508645453991e-05 1.662290552977834324e+01 4.795200740937212436e-02 2.831288636459305508e+00
3.011097410214244155e+04 1.167816618618583586e-05 1.653203845476060252e+01 4.615371957384629270e-02 2.840814914469206087e+00
3.074488051940642254e+04 1.100599782407486744e-05 1.644155889337798726e+01 4.441293587100185458e-02 2.849658553594849764e+00
3.139274964275787715e+04 1.037009629624012722e-05 1.635139935515721987e+01 4.272867210197118376e-02 2.857863843296684081e+00
3.205495658512114460e+04 9.768728623497803301e-06 1.626149917546902657e+01 4.109987381410611096e-02 2.865478007525382509e+00
3.273188173626221032e+04 9.200222115474677569e-06 1.617180477087414658e+01 3.952542388888269365e-02 2.872548969917943396e+00
3.342391116694879747e+04 8.662964256766064053e-06 1.608226957687110215e+01 3.800415155784319515e-02 2.879123525177021747e+00
3.413143705383032648e+04 8.155402692530495790e-06 1.599285373647746589e+01 3.653484209868081145e-02 2.885245978104023834e+00
3.485485810922688688e+04 7.676045145624915114e-06 1.590352361421708594e+01 3.511624657857364412e-02 2.890957253266549287e+00
3.559458000425657519e+04 7.223459152694207464e-06 1.581425120720378352e+01 3.374709115772758089e-02 2.896294431798196456e+00
3.635101577735102182e+04 6.796271557288376283e-06 1.572501351531664149e+01 3.242608562185380489e-02 2.901290638426416990e+00
3.712458622396441206e+04 6.393167739646015105e-06 1.563579191868192453e+01 3.115193095804173057e-02 2.905975185644081193e+00
3.791572026614915376e+04 6.012890593231703036e-06 1.554657159552669299e+01 2.992332590901486053e-02 2.910373881945076846e+00
3.872485530328194727e+04 5.654239277471511978e-06 1.545734099930975702e+01 2.873897252984385087e-02 2.914509424386096725e+00
3.955243754567245924e+04 5.316067786035218411e-06 1.536809140265059348e+01 2.759758082760111267e-02 2.918401813542743639e+00
4.039892233406347077e+04 4.997283372608077992e-06 1.527881650732997620e+01 2.649787259434853437e-02 2.922068749048264635e+00
4.126477444794613257e+04 4.696844873604662209e-06 1.518951211473800278e+01 2.543858455059423707e-02 2.925525983391310092e+00
4.215046840523532592e+04 4.413760962500010795e-06 1.510017584872031371e+01 2.441847091123026947e-02 2.928787624363167197e+00
4.305648875601791951e+04 4.147088364396471772e-06 1.501080692239479575e+01 2.343630547238253689e-02 2.931866386777073785e+00
4.398333037194990902e+04 3.895930053805449459e-06 1.492140594100161088e+01 2.249088330225186561e-02 2.934773798217804597e+00
4.493149873369483248e+04 3.659433453375361987e-06 1.483197473409322598e+01 2.158102210366689977e-02 2.937520366793989979e+00
4.590151021670571208e+04 3.436788647292827199e-06 1.474251621148412639e+01 2.070556330290603333e-02 2.940115717258549921e+00
4.689389237761026743e+04 3.227226619619411786e-06 1.465303423858128440e+01 1.986337290891379906e-02 2.942568702090284205e+00
4.790918424138319097e+04 3.030017525280095735e-06 1.456353352758395836e+01 1.905334217757815446e-02 2.944887493880798957e+00
4.894793659012627904e+04 2.844468999526718043e-06 1.447401954190285345e+01 1.827438811005060310e-02 2.947079661436248443e+00
5.001071225430044433e+04 2.669924510122327463e-06 1.438449841155494369e+01 1.752545380864507438e-02 2.949152233691904712e+00
5.109808640691782784e+04 2.505761755280623365e-06 1.429497685789127637e+01 1.680550870947040629e-02 2.951111754120233854e+00
5.221064686095598154e+04 2.351391109576810683e-06 1.420546212623259841e+01 1.611354870838260789e-02 2.952964326944027107e+00
5.334899437053110159e+04 2.206254119266740481e-06 1.411596192532577021e+01 1.544859619412230003e-02 2.954715656637915799e+00
5.451374293627973384e+04 2.069822047885961419e-06 1.402648437266422476e+01 1.480970000049976198e-02 2.956371082563805430e+00
5.570552011462857627e+04 1.941594472571711274e-06 1.393703794497411153e+01 1.419593528786401715e-02 2.957935608573677655e+00
5.692496733221783506e+04 1.821097931144617145e-06 1.384763143317781875e+01 1.360640336296199335e-02 2.959413928978221975e+00
5.817274020489287795e+04 1.707884619696244768e-06 1.375827390133227368e+01 1.304023144466623201e-02 2.960810452254861502e+00
5.944950886149934377e+04 1.601531140226278632e-06 1.366897464918547200e+01 1.249657238267882185e-02 2.962129321280713157e+00
6.075595827326362632e+04 1.501637297633140221e-06 1.357974317790424301e+01 1.197460433530103154e-02 2.963374431678460041e+00
6.209278858823084738e+04 1.407824945229283621e-06 1.349058915868320874e+01 1.147353041155330447e-02 2.964549448322145508e+00
6.346071547120081232e+04 1.319736877846029092e-06 1.340152240392580829e+01 1.099257828276449175e-02 2.965657818979877902e+00
6.486047044939488842e+04 1.237035771480160773e-06 1.331255284056553911e+01 1.053099976811756877e-02 2.966702786542214199e+00
6.629280126338254195e+04 1.159403168334934532e-06 1.322369048537060188e+01 1.008807039793437749e-02 2.967687400256863839e+00
6.775847222400162718e+04 1.086538506017183143e-06 1.313494542216254501e+01 9.663088958050359764e-03 2.968614527741920028e+00
6.925826457463932456e+04 1.018158189580039164e-06 1.304632778120739367e+01 9.255377017770120840e-03 2.969486867173600331e+00
7.079297685991681647e+04 9.539947051529504886e-07 1.295784772060516943e+01 8.864278444555253461e-03 2.970306956251761221e+00
7.236342529977037339e+04 8.937957739699741040e-07 1.286951540886634149e+01 8.489158908926994554e-03 2.971077177493953059e+00
7.397044416948592698e+04 8.373235454842864071e-07 1.278134100834981801e+01 8.129405382198789248e-03 2.971799765535990900e+00
7.561488618537002185e+04 7.843538280711220429e-07 1.269333466053135773e+01 7.784425627549576739e-03 2.972476816476387285e+00
7.729762289651448373e+04 7.346753560600708357e-07 1.260550647268100910e+01 7.453647686966728171e-03 2.973110293096397072e+00
7.901954508202755824e+04 6.880890918628745287e-07 1.251786650516131871e+01 7.136519366586423566e-03 2.973702028082357174e+00
8.078156315354965045e+04 6.444075618469898856e-07 1.243042475948293379e+01 6.832507721667865040e-03 2.974253734547573913e+00
8.258460756417589437e+04 6.034542244260745035e-07 1.234319116920461923e+01 6.541098540211905121e-03 2.974767019133764734e+00
8.442962922283880471e+04 5.650628693046286068e-07 1.225617559223674391e+01 6.261795828388035806e-03 2.975243381138454879e+00
8.631759991421425366e+04 5.290770468499175195e-07 1.216938780203928872e+01 5.994121301454060323e-03 2.975684205584570918e+00
8.824951272308264743e+04 4.953495262119726682e-07 1.208283747849864298e+01 5.737613879738444334e-03 2.976090737242031992e+00
9.022638246136230009e+04 4.637417814353358629e-07 1.199653419219972861e+01 5.491829195909023534e-03 2.976464100866792251e+00
9.224924609971565951e+04 4.341235027878750779e-07 1.191048740105643056e+01 5.256339096071616437e-03 2.976805382614884365e+00
9.431916320887622715e+04 4.063721326549370020e-07 1.182470645772969853e+01 5.030731139755193621e-03 2.977115630114553824e+00
9.643721640519086213e+04 3.803724264979242646e-07 1.173920060718614167e+01 4.814608118144218102e-03 2.977395798905320135e+00
9.860451180013221165e+04 3.560160371137405950e-07 1.165397898013076272e+01 4.607587584098051837e-03 2.977646717299421653e+00
1.008221794506693550e+05 3.332011210643248822e-07 1.156905058148076648e+01 4.409301393810616081e-03 2.977869098590815611e+00
1.030913738123279036e+05 3.118319654328618292e-07 1.148442428716906427e+01 4.219395249916596882e-03 2.978063474819236944e+00
1.054132741847636207e+05 2.918186358892220703e-07 1.140010881493913253e+01 4.037528271916456662e-03 2.978230441469804646e+00
1.077890851844343124e+05 2.730766388994874092e-07 1.131611278647966401e+01 3.863372510554676995e-03 2.978370652655257800e+00
1.102200372090255114e+05 2.555266073424919881e-07 1.123244469883494467e+01 3.696612541261239549e-03 2.978484512568968512e+00
1.127073868964747817e+05 2.390940024355209065e-07 1.114911290560917045e+01 3.536945056673830232e-03 2.978572247546253493e+00
1.152524175788099965e+05 2.237088314383639329e-07 1.106612560660857270e+01 3.384078461338720697e-03 2.978634041547081779e+00
1.178564397434284037e+05 2.093053798125230305e-07 1.098349086417993270e+01 3.237732459856426052e-03 2.978670291446690044e+00
1.205207915205114259e+05 1.958219569948712893e-07 1.090121665998382561e+01 3.097637635210940578e-03 2.978681349991575189e+00
1.232468391475483659e+05 1.832006604949028599e-07 1.081931084745129645e+01 2.963535100961733979e-03 2.978667135877174132e+00
1.260359774098198977e+05 1.713871525422316288e-07 1.073778110865566582e+01 2.835176154475366975e-03 2.978627366105513374e+00
1.288896300800855824e+05 1.603304473095773211e-07 1.065663496400276422e+01 2.712321908375139607e-03 2.978562552041239542e+00
1.318092504638977989e+05 1.499827046554230951e-07 1.057587998064382084e+01 2.594742838041591126e-03 2.978472331297552955e+00
1.347963217244338884e+05 1.402990536935657029e-07 1.049552337047439288e+01 2.482218646369554246e-03 2.978356201067356324e+00
1.378523574071396433e+05 1.312374033296129769e-07 1.041557237289655724e+01 2.374537740877704153e-03 2.978214606062351777e+00
1.409789018882119271e+05 1.227582788114261926e-07 1.033603412695080159e+01 2.271496983847668717e-03 2.978046439208696938e+00
1.441775306746955903e+05 1.148246689368755855e-07 1.025691544304068792e+01 2.172901478843665760e-03 2.977852757063317313e+00
1.474498511639737408e+05 1.074018594996075104e-07 1.017822357228696184e+01 2.078563944306392481e-03 2.977632076676059114e+00
1.507975025513592991e+05 1.004573234305262052e-07 1.009996485993198689e+01 1.988304988593377065e-03 2.977382264201992257e+00
1.542221564682186581e+05 9.396056144928035627e-08 1.002214594004666637e+01 1.901952318874234465e-03 2.977105958714673761e+00
1.577255176046480483e+05 8.788298086714941109e-08 9.944773696444029198e+00 1.819340514848908534e-03 2.976800005431016416e+00
1.613093234205566987e+05 8.219780191447061223e-08 9.867853974674128281e+00 1.740311236044567817e-03 2.976465809996568623e+00
1.649753454937038186e+05 7.687990587142822111e-08 9.791393936357376759e+00 1.664712114212968342e-03 2.976105471274593128e+00
1.687253893408836157e+05 7.190576997356968182e-08 9.715399921164628694e+00 1.592397292656700042e-03 2.975710728073693190e+00
1.725612939457228931e+05 6.725336969188474325e-08 9.639877215798211552e+00 1.523227207655870408e-03 2.975283410844099308e+00
1.764849332622275106e+05 6.290204994712658788e-08 9.564832573127603155e+00 1.457067544630973391e-03 2.974825864976139655e+00
1.804982158184272703e+05 5.883247440404895580e-08 9.490271867986562526e+00 1.393789788486437479e-03 2.974337092609744104e+00
1.846030856230813370e+05 5.502652245494025131e-08 9.416201712685502656e+00 1.333270511386813436e-03 2.973812124790185862e+00
1.888015209311479994e+05 5.146724316505223288e-08 9.342626989609073007e+00 1.275391872065863167e-03 2.973250762288841997e+00
1.930955360002506350e+05 4.813874169792987515e-08 9.269554359268477484e+00 1.220040417814783999e-03 2.972653873194758489e+00
1.974871799679925607e+05 4.502614959519336300e-08 9.196989043436692768e+00 1.167107792368788982e-03 2.972021961457016914e+00
2.019785385846749996e+05 4.211552835923980838e-08 9.124937974562051579e+00 1.116489722066279404e-03 2.971351612624005156e+00
2.065717321594273963e+05 3.939384942874132034e-08 9.053405856853878220e+00 1.068086835497537249e-03 2.970631867848794627e+00
2.112689155750596256e+05 3.684891380911130538e-08 8.982397459863824096e+00 1.021803872636520066e-03 2.969873637607292949e+00
2.160722807523134979e+05 3.446928202246767437e-08 8.911919982402956464e+00 9.775490184698407570e-04 2.969081730579887335e+00
2.209840554683803348e+05 3.224425671575873847e-08 8.841979510062092373e+00 9.352345879856265075e-04 2.968239143318669448e+00
2.260065008577560657e+05 3.016384090553232477e-08 8.772580007094507692e+00 8.947770230914690870e-04 2.967354629665123866e+00
2.311419158861233736e+05 2.821864948738544458e-08 8.703729629050503291e+00 8.560954409548225371e-04 2.966418788591795419e+00
2.363926304284222133e+05 2.639993780430753462e-08 8.635430788058142682e+00 8.191135069999882189e-04 2.965427442704935856e+00
2.417610109272089612e+05 2.469948996662347640e-08 8.567691058618031263e+00 7.837571193783593546e-04 2.964402399053597037e+00
2.472494596648585575e+05 2.310962244457593790e-08 8.500517663524275846e+00 7.499554263669648037e-04 2.963588879470307802e+00
2.528604800665234216e+05 2.162288913784129338e-08 8.433968244854169072e+00 7.176322216184972654e-04 2.975552456425987202e+00
2.586000000000000000e+05 2.022040520108491209e-08 8.370573335726499309e+00 6.863183729988616127e-04 2.987810301576000249e+00
